Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
7000 052 007 100 078 034
7001 090 036 090 077 030
7002 100 045 020 090 070
7003 011 017 081 032 077
7004 020 012 045 078 034
7005 034 080 055 078 045
7006 060 100 056 078 078
7007 070 010 066 078 056
7008 034 009 077 078 020
7009 045 040 088 078 055
7010 055 050 099 078 080
7011 022 070 100 078 077
7012 089 050 091 078 060
7013 011 011 000 078 010
7014 000 098 089 078 020
7015 052 007 100 078 034
7016 090 036 090 077 030
7017 100 045 020 090 070
7018 011 017 081 032 077
7019 020 012 045 078 034
7020 034 080 055 078 045
7021 060 100 056 078 078
7022 070 010 066 078 056
7023 034 009 077 078 020
7024 045 040 088 078 055
7025 055 050 099 078 080
7026 022 070 100 078 077
